"!HG_GREN0"	"scientist/sci_fear13.wav"
"!HG_ANSWER1"	"scientist/noidea.wav"
"!HG_ANSWER2"	"scientist/fine.wav"
"!HG_ANSWER3"	"scientist/hopeyouknow.wav"
"!HG_ANSWER4"	"scientist/leadtheway.wav"
"!HG_ANSWER5"	"scientist/letsgo.wav"
"!HG_ANSWER6"	"scientist/alright.wav"

"!HG_CLEAR0"	"scientist/uselessphd.wav"
"!HG_CLEAR1"	"scientist/waithere.wav"
"!HG_CLEAR2"	"scientist/survival.wav"
"!HG_CLEAR3"	"scientist/headcrab.wav"
"!HG_CLEAR4"	"scientist/goodpaper.wav"
"!HG_CLEAR5"	"scientist/catchone.wav"
"!HG_CLEAR6"	"scientist/dinner.wav"
"!HG_CLEAR7"	"scientist/alientrick.wav"
"!HG_CLEAR8"	"scientist/alienappeal.wav"
"!HG_CLEAR9"	"scientist/rumorclean.wav"
"!HG_CLEAR10"	"scientist/nothostile.wav"
"!HG_CLEAR11"	"scientist/announcer.wav"
"!HG_CLEAR12"	"scientist/smellburn.wav"

"!HG_CHECK0"	"scientist/absolutely.wav"
"!HG_CHECK1"	"scientist/ibelieveso.wav"
"!HG_CHECK2"	"scientist/completelywrong.wav"
"!HG_CHECK3"	"scientist/cantbeserious.wav"
"!HG_CHECK4"	"scientist/ridiculous.wav"
"!HG_CHECK5"	"scientist/stopasking.wav"
"!HG_CHECK6"	"scientist/justasked.wav"
"!HG_CHECK7"	"scientist/repeat.wav"

"weapons/hks1.wav"	"shl/hevbarney/hks1.wav"
"weapons/hks2.wav"	"shl/hevbarney/hks2.wav"
"weapons/hks3.wav"	"shl/hevbarney/hks3.wav"
"hgrunt/gr_die1.wav"	"scientist/sci_die1.wav"
"hgrunt/gr_die2.wav"	"scientist/sci_die2.wav"
"hgrunt/gr_die3.wav"	"scientist/sci_die3.wav"
"hgrunt/gr_pain1.wav"	"scientist/sci_pain1.wav"
"hgrunt/gr_pain2.wav"	"scientist/sci_pain3.wav"
"hgrunt/gr_pain3.wav"	"scientist/sci_pain4.wav"
"hgrunt/gr_pain4.wav"	"scientist/sci_pain5.wav"
"hgrunt/gr_pain5.wav"	"scientist/sci_pain9.wav"
"weapons/m16_3round.wav"	"shl/m41a_3round.wav"
"weapons/glauncher.wav"		"shl/m41aglauncher.wav"
"weapons/glauncher2.wav"	"shl/m41aglauncher2.wav"
"weapons/m16_single.wav"	"shl/m41a_single.wav"
"hgrunt/gr_reload1.wav"	"shl/spf_reload1.wav"
"weapons/sbarrel1.wav"	"shl/hevbarney/sbarrel1.wav"
"weapons/dbarrel1.wav"	"shl/hevbarney/dbarrel1.wav"
"weapons/scock1.wav"	"shl/hevbarney/scock1.wav"
