"models/w_medkit.mdl"		"models/zelda/items/heart.mdl"
"models/w_gauss.mdl"		"models/v_medkit.mdl"
"models/w_saw.mdl"		"models/v_medkit.mdl"
"models/w_2uzis.mdl"		"models/v_medkit.mdl"
"models/w_2uzis_gold.mdl"	"models/v_medkit.mdl"
"models/w_uzi.mdl"		"models/v_medkit.mdl"
"models/w_uzi_gold.mdl"		"models/v_medkit.mdl"
"models/w_rpg.mdl"		"models/v_medkit.mdl"
"models/w_rpgammo.mdl"		"models/v_medkit.mdl"
"models/w_squeak.mdl"		"models/v_medkit.mdl"
"models/w_sqknest.mdl"		"models/v_medkit.mdl"
"models/w_hgun.mdl"		"models/v_medkit.mdl"
"models/w_minigun.mdl"		"models/v_medkit.mdl"
"models/w_gaussammo.mdl"	"models/v_medkit.mdl"
"models/chubby.mdl"		"models/v_medkit.mdl"
"models/w_chainammo.mdl"	"models/v_medkit.mdl"

"models/agrunt.mdl"		"models/v_medkit.mdl"
"models/zombie.mdl"		"models/v_medkit.mdl"
"models/bigmomma.mdl"		"models/v_medkit.mdl"
"models/pitdrone.mdl"		"models/v_medkit.mdl"

"models/p_357.mdl"		"models/v_medkit.mdl"
"models/p_9mmar.mdl"		"models/v_medkit.mdl"
"models/p_9mmhandgun.mdl"	"models/v_medkit.mdl"
"models/p_shotgun.mdl"		"models/v_medkit.mdl"
"models/v_357.mdl"		"models/v_medkit.mdl"
"models/v_9mmar.mdl"		"models/v_medkit.mdl"
"models/v_9mmhandgun.mdl"	"models/v_medkit.mdl"
"models/v_shotgun.mdl"		"models/v_medkit.mdl"
"models/w_357.mdl"		"models/v_medkit.mdl"
"models/w_357ammo.mdl"		"models/v_medkit.mdl"
"models/w_357ammobox.mdl"	"models/v_medkit.mdl"
"models/w_9mmar.mdl"		"models/v_medkit.mdl"
"models/w_9mmarclip.mdl"	"models/v_medkit.mdl"
"models/w_9mmclip.mdl"		"models/v_medkit.mdl"
"models/w_9mmhandgun.mdl"	"models/v_medkit.mdl"
"models/w_shotbox.mdl"		"models/v_medkit.mdl"
"models/w_shotgun.mdl"		"models/v_medkit.mdl"
"models/p_spore_launcher.mdl"   "models/v_medkit.mdl"
"models/v_spore_launcher.mdl"	"models/v_medkit.mdl"
"models/w_spore_launcher.mdl"	"models/v_medkit.mdl"
